Título,valor,Páginas,Data de Publicação,Processado em,Avaliação,Tipo,Universo
Trono de Vidro (2) - Coroa da Meia Noite,"R$ 20,72",406,01/09/2014,23/10/2017,,Livro,Livro
Santo Guerreiro: Roma Invicta (Vol. 1),"R$ 39,90",588,01/10/2020,17/10/2020,,Livro,Livro
Trilogia Dos Espinhos ,"R$ 47,61",1416,01/08/2014,29/11/2017,,Livro,Livro
A Batalha do Apocalipse,"R$ 59,90",602,01/07/2010,01/01/2013,,Livro,Livro
Filhos do Éden Vol. 1: Herdeiros de Atlântida,"R$ 54,90",476,01/08/2011,01/05/2013,,Livro,Livro
Filhos do Éden Vol. 2: Anjos da Morte,"R$ 59,90",588,01/03/2013,01/09/2013,,Livro,Livro
Filhos do Éden Vol. 3: Paraíso Perdido,"R$ 64,90",602,01/11/2015,01/12/2015,,Livro,Livro
A Lenda de Ruff Ghanor Vol. 1: O Garoto-Cabra,"R$ 49,90",336,01/12/2014,22/12/2014,,Livro,Livro
A Lenda de Ruff Ghanor Vol. 2: O Herdeiro do Leão,"R$ 54,90",416,01/12/2015,21/12/2015,,Livro,Livro
A Lenda de Ruff Ghanor Vol. 3: O Melhor Amigo do Homem,"R$ 59,90",496,01/12/2016,19/12/2016,,Livro,Livro
H.P. Lovecraft: Miskatonic Edition (DarkSide),"R$ 74,90",544,01/11/2017,25/12/2017,,Livro,Livro
O Nome do Vento (A Crônica do Matador do Rei Vol. 1),"R$ 69,90",656,01/07/2009,01/01/2016,,Livro,Livro
O Pequeno Príncipe (Edição de Luxo),"R$ 39,90",160,01/01/2015,01/02/2016,,Livro,Livro
Trono de Vidro Vol. 1,"R$ 54,90",406,01/06/2013,02/02/2015,,Livro,Livro